Budget;Longueur;Moyenne
413;188;139.2
413;188;143.22
392;192;147.16
392;192;150.54
367;207;153.92
367;207;162.98
367;207;164.6
531;217;168.36
531;217;170.1
429;218;173.32
429;218;175.42
429;218;182.88
429;218;186.04
429;218;187.14
429;218;187.64
429;218;185.86
429;218;184.8
429;218;188.08
429;218;190.44
429;218;190.68
397;221;189.98
397;221;192.24
397;221;197.02
397;221;201.08
397;221;204.3
397;221;205.14
397;221;207.46
397;221;207.64
397;221;207.92
397;221;211.34
397;221;214.44
397;221;213.72
397;221;212.1
397;221;212.96
397;221;214.44
397;221;212.78
397;221;216.78
397;221;217.68
397;221;217.62
397;221;217.2
397;221;216.46
397;221;214.32
397;221;213.6
397;221;211.92
397;221;215.14
397;221;214.94
397;221;217.3
397;221;217.38
397;221;219.24
397;221;220.04
397;221;220.1
397;221;220.04
397;221;219.86
397;221;219.8
397;221;219.8
397;221;219.92
397;221;219.92
397;221;219.22
397;221;219.28
397;221;218.58
397;221;218.7
397;221;219.4
397;221;219.52
397;221;219.64
453;229;219.28
453;229;220.84
453;229;220.5
453;229;220.82
453;229;220.76
453;229;221.04
453;229;221.42
453;229;221.78
453;229;222.44
453;229;222.58
453;229;223.48
453;229;223.02
453;229;224.1
453;229;223.62
453;229;224
453;229;224.06
453;229;224
453;229;224.04
453;229;225.02
453;229;224.52
453;229;224.86
453;229;224.92
453;229;224.36
453;229;224.44
453;229;223.4
453;229;224.3
453;229;224.98
453;229;225.62
453;229;225.5
453;229;225.38
453;229;225.42
453;229;224.7
453;229;224.48
453;229;224.7
453;229;224.86
453;229;225.5
