Budget;LongueurMin;ValeurMax;Moyenne
3494;166;1.07569;0.849665
3419;176;1.13501;0.859332
3632;181;1.15452;0.87764
3632;181;1.15452;0.901257
3632;181;1.15452;0.918295
3453;185;1.18413;0.947983
3453;185;1.18413;0.956621
3453;185;1.18413;0.975828
3045;190;1.23162;0.985992
3045;190;1.23162;0.998972
3045;190;1.23162;1.0021
3045;190;1.23162;1.01227
3045;190;1.23162;1.02486
3045;190;1.23162;1.0067
3045;190;1.23162;1.01426
3084;191;1.23516;1.01688
3084;191;1.23516;1.00779
3084;191;1.23516;1.02374
3084;191;1.23516;1.02188
3084;191;1.23516;1.03771
3084;191;1.23516;1.03263
3041;191;1.23745;1.04953
3041;191;1.23745;1.062
3041;191;1.23745;1.06435
3041;191;1.23745;1.06982
3041;191;1.23745;1.07103
3041;191;1.23745;1.09148
3308;199;1.26913;1.08893
3308;199;1.26913;1.10557
3308;199;1.26913;1.12461
3308;199;1.26913;1.11507
3308;199;1.26913;1.12974
2905;198;1.28448;1.15422
3214;207;1.31849;1.15583
3214;207;1.31849;1.1786
3214;207;1.31849;1.14935
3214;207;1.31849;1.17264
3214;207;1.31849;1.18862
3170;207;1.32065;1.19792
3170;207;1.32065;1.21705
3158;207;1.32125;1.21616
3158;207;1.32125;1.2206
3158;207;1.32125;1.22062
2728;203;1.32373;1.20692
3241;209;1.32843;1.2021
3241;209;1.32843;1.2047
3241;209;1.32843;1.20926
3241;209;1.32843;1.20747
3241;209;1.32843;1.21595
3229;209;1.329;1.22262
3186;209;1.33109;1.23464
3186;209;1.33109;1.22419
3186;209;1.33109;1.22345
3186;209;1.33109;1.22852
3186;209;1.33109;1.21867
3186;209;1.33109;1.21884
3186;209;1.33109;1.23268
3135;209;1.33365;1.23308
3135;209;1.33365;1.24266
3135;209;1.33365;1.23782
3135;209;1.33365;1.24555
3135;209;1.33365;1.24319
3135;209;1.33365;1.2476
3135;209;1.33365;1.26329
3135;209;1.33365;1.2711
3135;209;1.33365;1.27633
3135;209;1.33365;1.2781
3135;209;1.33365;1.28164
3135;209;1.33365;1.29074
3135;209;1.33365;1.29518
3135;209;1.33365;1.28638
3135;209;1.33365;1.29051
3135;209;1.33365;1.28705
3135;209;1.33365;1.28708
3135;209;1.33365;1.29748
3135;209;1.33365;1.29742
3135;209;1.33365;1.30049
3090;209;1.33597;1.29909
3090;209;1.33597;1.30869
3090;209;1.33597;1.30994
3090;209;1.33597;1.31753
3090;209;1.33597;1.32138
3090;209;1.33597;1.32288
3090;209;1.33597;1.32005
3078;209;1.3366;1.32274
3078;209;1.3366;1.31786
3078;209;1.3366;1.319
3078;209;1.3366;1.32465
3078;209;1.3366;1.32496
3078;209;1.3366;1.32518
3078;209;1.3366;1.32522
3078;209;1.3366;1.32481
3078;209;1.3366;1.32679
3078;209;1.3366;1.32651
3078;209;1.3366;1.32591
3078;209;1.3366;1.3263
3078;209;1.3366;1.32577
3078;209;1.3366;1.32631
3053;209;1.33793;1.32634
3053;209;1.33793;1.32647
